,acc,mcc,tp,tn,fp,fn,auroc,auprc
curriculum-reordered-shuffled-20pct,0.918777116335385,0.8375317546351188,4629,4477,417,388,0.9765383108139314,0.976310868304229
easiest-interleaved-50pct,0.9184744223589949,0.8369485909329929,4639,4464,430,378,0.9760228993388153,0.9759313189200242
no-easy-80pct,0.9177681364140854,0.8355560804349573,4642,4454,440,375,0.9761037034768344,0.9760191944240064
hardest-interleaved-10pct,0.916658258500656,0.8333372371555466,4637,4448,446,380,0.97593818532315,0.9755687234051984
hardest-interleaved-25pct,0.916557360508526,0.8331004000101995,4624,4460,434,393,0.9760010691886246,0.9757836157534944
