,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
873,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,easiest-interleaved-10pct,no-easy-90pct,no-hard-80pct,0.9066941297631308,0.8133754947387124,4471,4333,471,435,0.969396680915109,0.9687251575174187
2820,curriculum-reordered-shuffled-00pct,easiest-interleaved-25pct,curriculum-reordered-shuffled-40pct,hardest-interleaved-10pct,no-hard-90pct,0.9066941297631308,0.8133664912343572,4463,4341,463,443,0.9700337833365523,0.9695835365839984
535,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,curriculum-reordered-shuffled-10pct,hardest-interleaved-10pct,no-hard-90pct,0.9066941297631308,0.8133656214146584,4461,4343,461,445,0.9700374959309964,0.9697010043903203
7764,curriculum-reordered-shuffled-30pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,no-hard-95pct,no-hard-90pct,0.9066941297631308,0.8133676651438382,4453,4351,453,453,0.9689529940567939,0.9685368842111965
946,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,no-easy-95pct,curriculum-reordered-shuffled-40pct,no-hard-95pct,0.9066941297631308,0.8133698880484237,4467,4337,467,439,0.969828275322949,0.9692824547114186
2587,curriculum-reordered-shuffled-00pct,easiest-interleaved-25pct,curriculum-reordered-shuffled-30pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,0.9066941297631308,0.8133833117245554,4475,4329,475,431,0.9698972235054835,0.9693850046628563
6091,baseline,hardest-interleaved-50pct,easiest-interleaved-10pct,no-easy-90pct,hardest-interleaved-10pct,0.9066941297631308,0.8133724151341002,4469,4335,469,437,0.9705253732706098,0.9700351496800903
8413,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,curriculum-reordered-shuffled-40pct,hardest-interleaved-10pct,no-hard-80pct,0.9066941297631308,0.8133754947387124,4471,4333,471,435,0.9702037565176186,0.9698690637749116
2592,curriculum-reordered-shuffled-00pct,easiest-interleaved-25pct,curriculum-reordered-shuffled-30pct,no-easy-90pct,no-hard-90pct,0.9066941297631308,0.8133671332828761,4464,4340,464,442,0.9697208010174969,0.9692003464844753
3171,curriculum-reordered-shuffled-00pct,baseline,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,no-hard-90pct,0.9066941297631308,0.8133653039312755,4459,4345,459,447,0.9694719511156114,0.9690664339992223
967,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,no-hard-95pct,0.9066941297631308,0.8133698880484237,4467,4337,467,439,0.969828275322949,0.9692824547114186
6084,baseline,hardest-interleaved-50pct,easiest-interleaved-10pct,no-easy-95pct,hardest-interleaved-10pct,0.9066941297631308,0.8133724151341002,4469,4335,469,437,0.9705253732706098,0.9700351496800903
3927,curriculum-reordered-shuffled-00pct,easiest-interleaved-10pct,no-easy-95pct,easiest-interleaved-50pct,no-hard-80pct,0.9066941297631308,0.8133772417523956,4472,4332,472,434,0.9693702896723174,0.9687932601093324
