,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
678,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,no-easy-80pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-40pct,0.9084449021627189,0.816875395484151,4478,4343,461,428,0.9696234037541076,0.9689389515905186
7825,hardest-interleaved-50pct,easiest-interleaved-10pct,no-easy-95pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9084449021627189,0.8168715326207686,4475,4346,458,431,0.9701328990007986,0.9695785242562189
6615,no-easy-80pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,hardest-interleaved-10pct,no-hard-95pct,0.9084449021627189,0.8168805069010685,4481,4340,464,425,0.9704734818076933,0.9698841210089997
3053,curriculum-reordered-shuffled-00pct,baseline,easiest-interleaved-10pct,no-easy-90pct,easiest-interleaved-50pct,0.9084449021627189,0.8168673738237786,4468,4353,451,438,0.9697446464812411,0.9691567960921957
1616,curriculum-reordered-shuffled-20pct,no-easy-80pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,hardest-interleaved-10pct,0.9084449021627189,0.8168715326207686,4475,4346,458,431,0.9700893661790877,0.9696872282524786
3355,curriculum-reordered-shuffled-00pct,no-easy-80pct,easiest-interleaved-10pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9084449021627189,0.8168675518830302,4469,4352,452,437,0.9701576354872095,0.9696567541732304
2393,curriculum-reordered-shuffled-00pct,easiest-interleaved-25pct,baseline,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,0.9084449021627189,0.816875395484151,4478,4343,461,428,0.97027119844755,0.9696963528932762
665,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,no-easy-80pct,hardest-interleaved-50pct,no-easy-95pct,0.9084449021627189,0.8168726815247083,4476,4345,459,430,0.9703938413531598,0.9698235810756213
7866,hardest-interleaved-50pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9084449021627189,0.8168769605526209,4479,4342,462,427,0.9704361861446484,0.9699636138839646
3885,curriculum-reordered-shuffled-00pct,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,curriculum-reordered-shuffled-40pct,0.9084449021627189,0.8168673344362074,4467,4354,450,439,0.9700038916475704,0.9694148733568506
5954,baseline,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,no-easy-95pct,easiest-interleaved-50pct,0.9084449021627189,0.8168732195063364,4458,4363,441,448,0.9703106792376105,0.9698838666174419
6897,no-easy-80pct,hardest-interleaved-50pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,hardest-interleaved-10pct,0.9084449021627189,0.8168972901225742,4488,4333,471,418,0.9705568136418455,0.9701657463287675
4283,easiest-interleaved-25pct,baseline,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,curriculum-reordered-shuffled-40pct,0.9084449021627189,0.8168769605526209,4479,4342,462,427,0.9700957094118808,0.9695185777937267
5938,baseline,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-40pct,no-hard-95pct,0.9084449021627189,0.8168680482599504,4464,4357,447,442,0.9691471521388109,0.968357063891652
2121,curriculum-reordered-shuffled-20pct,easiest-interleaved-10pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,hardest-interleaved-10pct,0.9084449021627189,0.8168726815247083,4476,4345,459,430,0.9699448083588449,0.9694275488211284
