,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
1351,easiest-interleaved-25pct,no-easy-80pct,hardest-interleaved-50pct,no-hard-95pct,0.9072090628218331,0.8144064431474232,4474,4335,469,432,0.9703082607475155,0.9696040204240918
2936,no-easy-95pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,hardest-interleaved-10pct,0.9072090628218331,0.8143993984899223,4469,4340,464,437,0.970179889839049,0.9698611980154297
2754,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,no-hard-90pct,0.9072090628218331,0.8144136983298887,4445,4364,440,461,0.9696840993695632,0.9689844191760519
627,curriculum-reordered-shuffled-20pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,no-hard-95pct,0.9072090628218331,0.8144005308183432,4470,4339,465,436,0.9696749769946436,0.9691981525638895
977,curriculum-reordered-shuffled-00pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,0.9072090628218331,0.8143965955420857,4457,4352,452,449,0.9702361727708224,0.9697672351529217
1589,easiest-interleaved-25pct,hardest-interleaved-25pct,no-easy-90pct,no-hard-80pct,0.9072090628218331,0.8144018014418465,4471,4338,466,435,0.969808842542887,0.9692717866099112
1749,baseline,no-easy-80pct,no-easy-90pct,no-hard-95pct,0.9072090628218331,0.8144018014418465,4471,4338,466,435,0.9696904638171817,0.9690271870261874
1834,baseline,curriculum-reordered-shuffled-30pct,hardest-interleaved-10pct,no-hard-90pct,0.9072090628218331,0.8143960687479443,4458,4351,453,448,0.9698511024750743,0.9694502893078514
2530,curriculum-reordered-shuffled-30pct,curriculum-reordered-shuffled-10pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9072090628218331,0.8144047575997175,4473,4336,468,433,0.9693518539890489,0.9689524606715366
1179,curriculum-reordered-shuffled-00pct,no-easy-95pct,hardest-interleaved-10pct,no-hard-90pct,0.9072090628218331,0.8143954298695573,4460,4349,455,446,0.9701112598788955,0.9697569097332182
480,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,no-easy-95pct,curriculum-reordered-shuffled-10pct,0.9072090628218331,0.8144018014418465,4471,4338,466,435,0.9704578040517262,0.9701302725466553
1015,curriculum-reordered-shuffled-00pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-10pct,no-hard-90pct,0.9072090628218331,0.8143965955420857,4457,4352,452,449,0.9699799401096993,0.9696302318088137
2094,no-easy-80pct,curriculum-reordered-shuffled-30pct,no-easy-95pct,no-hard-95pct,0.9072090628218331,0.8143968312148122,4466,4343,461,440,0.9697730531324453,0.9692382802074025
4,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,easiest-interleaved-25pct,easiest-interleaved-10pct,0.9072090628218331,0.8143993984899223,4469,4340,464,437,0.9697834696117144,0.9690128175824839
191,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,no-easy-95pct,curriculum-reordered-shuffled-40pct,0.9072090628218331,0.8144047575997175,4473,4336,468,433,0.9698286147601555,0.9693140911137975
1935,baseline,easiest-interleaved-10pct,hardest-interleaved-10pct,no-hard-80pct,0.9072090628218331,0.8144047575997175,4473,4336,468,433,0.9694003935095533,0.9687999215209183
606,curriculum-reordered-shuffled-20pct,no-easy-95pct,curriculum-reordered-shuffled-10pct,no-hard-95pct,0.9072090628218331,0.8144005308183432,4470,4339,465,436,0.9696749769946436,0.9691981525638895
487,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,0.9072090628218331,0.8144018014418465,4471,4338,466,435,0.9704578040517262,0.9701302725466553
1582,easiest-interleaved-25pct,hardest-interleaved-25pct,no-easy-95pct,no-hard-80pct,0.9072090628218331,0.8144018014418465,4471,4338,466,435,0.969808842542887,0.9692717866099112
399,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,curriculum-reordered-shuffled-40pct,0.9072090628218331,0.8143968312148122,4466,4343,461,440,0.9700296676604255,0.9695877124033975
2262,no-easy-80pct,no-easy-95pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,0.9072090628218331,0.8143984044504436,4468,4341,463,438,0.9695832865192853,0.968980405582879
